Name,Season,Team, Price 
LR Shukla,2014,Delhi Daredevils," $250,000.00 "
LRPL Taylor,2014,Delhi Daredevils," $1,000,000.00 "
M Vijay,2014,Delhi Daredevils," $833,000.00 "
MA Agarwal,2014,Delhi Daredevils," $266,000.00 "
MK Tiwary,2014,Delhi Daredevils," $466,000.00 "
Mohammed Shami,2014,Delhi Daredevils," $708,000.00 "
NM Coulter-Nile,2014,Delhi Daredevils," $708,000.00 "
Q de Kock,2014,Delhi Daredevils," $583,000.00 "
R Sharma,2014,Delhi Daredevils," $316,000.00 "
R Shukla,2014,Delhi Daredevils," $66,000.00 "
S Kaul,2014,Delhi Daredevils," $75,000.00 "
S Nadeem,2014,Delhi Daredevils," $141,000.00 "
WD Parnell,2014,Delhi Daredevils," $166,000.00 "
AR Patel,2014,Kings XI Punjab," $125,000.00 "
BE Hendricks,2014,Kings XI Punjab," $300,000.00 "
CA Pujara,2014,Kings XI Punjab," $316,000.00 "
DA Miller,2014,Kings XI Punjab," $833,333.00 "
GJ Bailey,2014,Kings XI Punjab," $541,000.00 "
GJ Maxwell,2014,Kings XI Punjab," $1,000,000.00 "
Karanveer Singh,2014,Kings XI Punjab," $16,000.00 "
L Balaji,2014,Kings XI Punjab," $300,000.00 "
M Kartik,2014,Kings XI Punjab," $400,000.00 "
M Vohra,2014,Kings XI Punjab," $58,333.00 "
Mandeep Singh,2014,Kings XI Punjab," $133,000.00 "
MG Johnson,2014,Kings XI Punjab," $1,083,000.00 "
P Awana,2014,Kings XI Punjab," $108,000.00 "
R Dhawan,2014,Kings XI Punjab," $500,000.00 "
Sandeep Sharma,2014,Kings XI Punjab," $141,000.00 "
SE Marsh,2014,Kings XI Punjab," $366,000.00 "
Shivam Sharma,2014,Kings XI Punjab," $16,000.00 "
V Sehwag,2014,Kings XI Punjab," $533,000.00 "
WP Saha,2014,Kings XI Punjab," $366,000.00 "
AD Russell,2014,Kolkata Knight Riders," $100,000.00 "
CA Lynn,2014,Kolkata Knight Riders," $216,000.00 "
G Gambhir,2014,Kolkata Knight Riders," $1,666,667.00 "
JH Kallis,2014,Kolkata Knight Riders," $916,000.00 "
M Morkel,2014,Kolkata Knight Riders," $466,000.00 "
MK Pandey,2014,Kolkata Knight Riders," $283,000.00 "
MS Bisla,2014,Kolkata Knight Riders," $100,000.00 "
PP Chawla,2014,Kolkata Knight Riders," $708,000.00 "
R Vinay Kumar,2014,Kolkata Knight Riders," $466,000.00 "
RN ten Doeschate,2014,Kolkata Knight Riders," $166,000.00 "
RV Uthappa,2014,Kolkata Knight Riders," $833,000.00 "
SA Yadav,2014,Kolkata Knight Riders," $116,000.00 "
Shakib Al Hasan,2014,Kolkata Knight Riders," $466,000.00 "
SP Narine,2014,Kolkata Knight Riders," $700,000.00 "
UT Yadav,2014,Kolkata Knight Riders," $433,000.00 "
YK Pathan,2014,Kolkata Knight Riders," $541,000.00 "
AP Tare,2014,Mumbai Indians," $266,000.00 "
BR Dunk,2014,Mumbai Indians," $33,000.00 "
CJ Anderson,2014,Mumbai Indians," $750,000.00 "
CM Gautam,2014,Mumbai Indians," $33,000.00 "
Harbhajan Singh,2014,Mumbai Indians," $1,333,333.00 "
JJ Bumrah,2014,Mumbai Indians," $200,000.00 "
K Santokie,2014,Mumbai Indians," $50,000.00 "
KA Pollard,2014,Mumbai Indians," $900,000.00 "
M de Lange,2014,Mumbai Indians," $50,000.00 "
MEK Hussey,2014,Mumbai Indians," $833,000.00 "
P Kumar,2014,Mumbai Indians," $800,000.00 "
P Suyal,2014,Mumbai Indians," $16,000.00 "
PP Ojha,2014,Mumbai Indians," $541,000.00 "
RG Sharma,2014,Mumbai Indians," $1,916,667.00 "
S Gopal,2014,Mumbai Indians," $16,000.00 "
SL Malinga,2014,Mumbai Indians," $1,350,000.00 "
Z Khan,2014,Mumbai Indians," $433,000.00 "
AM Nayar,2014,Rajasthan Royals," $166,000.00 "
AM Rahane,2014,Rajasthan Royals," $1,333,333.00 "
BCJ Cutting,2014,Rajasthan Royals," $133,000.00 "
BJ Hodge,2014,Rajasthan Royals," $400,000.00 "
DH Yagnik,2014,Rajasthan Royals," $50,000.00 "
DS Kulkarni,2014,Rajasthan Royals," $183,000.00 "
Iqbal Abdulla,2014,Rajasthan Royals," $108,000.00 "
JP Faulkner,2014,Rajasthan Royals," $850,000.00 "
KK Nair,2014,Rajasthan Royals," $125,000.00 "
KW Richardson,2014,Rajasthan Royals," $166,000.00 "
PV Tambe,2014,Rajasthan Royals," $16,000.00 "
R Bhatia,2014,Rajasthan Royals," $283,000.00 "
SPD Smith,2014,Rajasthan Royals," $666,000.00 "
SR Watson,2014,Rajasthan Royals," $1,300,000.00 "
TG Southee,2014,Rajasthan Royals," $200,000.00 "
UBT Chand,2014,Rajasthan Royals," $108,000.00 "
VS Malik,2014,Rajasthan Royals," $33,000.00 "
AB de Villiers,2014,Royal Challengers Bangalore," $1,583,333.00 "
AB Dinda,2014,Royal Challengers Bangalore," $250,000.00 "
AN Ahmed,2014,Royal Challengers Bangalore," $50,000.00 "
CH Gayle,2014,Royal Challengers Bangalore," $1,400,000.00 "
HV Patel,2014,Royal Challengers Bangalore," $66,000.00 "
JA Morkel,2014,Royal Challengers Bangalore," $400,000.00 "
M Muralitharan,2014,Royal Challengers Bangalore," $166,000.00 "
MA Starc,2014,Royal Challengers Bangalore," $833,000.00 "
NJ Maddinson,2014,Royal Challengers Bangalore," $83,000.00 "
PA Patel,2014,Royal Challengers Bangalore," $233,000.00 "
R Rampaul,2014,Royal Challengers Bangalore," $150,000.00 "
SB Jakati,2014,Royal Challengers Bangalore," $33,000.00 "
V Kohli,2014,Royal Challengers Bangalore," $2,500,000.00 "
VH Zol,2014,Royal Challengers Bangalore," $50,000.00 "
VR Aaron,2014,Royal Challengers Bangalore," $333,000.00 "
YS Chahal,2014,Royal Challengers Bangalore," $16,000.00 "
Yuvraj Singh,2014,Royal Challengers Bangalore," $2,333,000.00 "
YV Takawale,2014,Royal Challengers Bangalore," $16,000.00 "
A Mishra,2014,Sunrisers Hyderabad," $791,000.00 "
AJ Finch,2014,Sunrisers Hyderabad," $666,000.00 "
B Kumar,2014,Sunrisers Hyderabad," $708,000.00 "
DA Warner,2014,Sunrisers Hyderabad," $916,000.00 "
DJG Sammy,2014,Sunrisers Hyderabad," $583,000.00 "
DW Steyn,2014,Sunrisers Hyderabad," $1,200,000.00 "
I Sharma,2014,Sunrisers Hyderabad," $433,000.00 "
IK Pathan,2014,Sunrisers Hyderabad," $400,000.00 "
JO Holder,2014,Sunrisers Hyderabad," $125,000.00 "
KL Rahul,2014,Sunrisers Hyderabad," $166,000.00 "
KV Sharma,2014,Sunrisers Hyderabad," $625,000.00 "
MC Henriques,2014,Sunrisers Hyderabad," $166,000.00 "
NV Ojha,2014,Sunrisers Hyderabad," $83,000.00 "
Parvez Rasool,2014,Sunrisers Hyderabad," $158,000.00 "
S Anirudha,2014,Sunrisers Hyderabad," $33,000.00 "
S Dhawan,2014,Sunrisers Hyderabad," $2,083,333.00 "
Y Venugopal Rao,2014,Sunrisers Hyderabad," $700,000.00 "
A Nehra,2015,Chennai Super Kings," $333,000.00 "
BB McCullum,2015,Chennai Super Kings," $541,000.00 "
DJ Bravo,2015,Chennai Super Kings," $666,667.00 "
DR Smith,2015,Chennai Super Kings," $750,000.00 "
F du Plessis,2015,Chennai Super Kings," $791,000.00 "
IC Pandey,2015,Chennai Super Kings," $250,000.00 "
KJ Abbott,2015,Chennai Super Kings," $50,000.00 "
M Manhas,2015,Chennai Super Kings," $50,000.00 "
MEK Hussey,2015,Chennai Super Kings," $250,000.00 "
MJ Henry,2015,Chennai Super Kings," $50,000.00 "
MM Sharma,2015,Chennai Super Kings," $333,000.00 "
MS Dhoni,2015,Chennai Super Kings," $2,083,333.00 "
P Negi,2015,Chennai Super Kings," $16,000.00 "
R Ashwin,2015,Chennai Super Kings," $1,250,000.00 "
R Sharma,2015,Chennai Super Kings," $50,000.00 "
RA Jadeja,2015,Chennai Super Kings," $916,667.00 "
RG More,2015,Chennai Super Kings," $16,000.00 "
S Badree,2015,Chennai Super Kings," $50,000.00 "
SK Raina,2015,Chennai Super Kings," $1,583,333.00 "
A Mishra,2015,Delhi Daredevils," $583,333.00 "
AD Mathews,2015,Delhi Daredevils," $1,250,000.00 "
CM Gautam,2015,Delhi Daredevils," $33,333.00 "
DJ Muthuswami,2015,Delhi Daredevils," $125,000.00 "
GS Sandhu,2015,Delhi Daredevils," $283,333.00 "
J Yadav,2015,Delhi Daredevils," $16,000.00 "
JA Morkel,2015,Delhi Daredevils," $50,000.00 "
JD Unadkat,2015,Delhi Daredevils," $183,333.00 "
JP Duminy,2015,Delhi Daredevils," $366,000.00 "
KM Jadhav,2015,Delhi Daredevils," $333,000.00 "
MA Agarwal,2015,Delhi Daredevils," $266,000.00 "
MK Tiwary,2015,Delhi Daredevils," $466,000.00 "
Mohammed Shami,2015,Delhi Daredevils," $708,000.00 "
NM Coulter-Nile,2015,Delhi Daredevils," $708,000.00 "
Q de Kock,2015,Delhi Daredevils," $583,000.00 "
S Nadeem,2015,Delhi Daredevils," $141,000.00 "
SS Iyer,2015,Delhi Daredevils," $433,333.00 "
SS Tiwary,2015,Delhi Daredevils," $116,000.00 "
Yuvraj Singh,2015,Delhi Daredevils," $2,666,667.00 "
Z Khan,2015,Delhi Daredevils," $666,667.00 "
Anureet Singh,2015,Kings XI Punjab," $33,000.00 "
AR Patel,2015,Kings XI Punjab," $125,000.00 "
BE Hendricks,2015,Kings XI Punjab," $300,000.00 "
DA Miller,2015,Kings XI Punjab," $833,333.00 "
GJ Bailey,2015,Kings XI Punjab," $541,000.00 "
GJ Maxwell,2015,Kings XI Punjab," $1,000,000.00 "
Gurkeerat Singh,2015,Kings XI Punjab," $216,000.00 "
Karanveer Singh,2015,Kings XI Punjab," $16,000.00 "
M Vijay,2015,Kings XI Punjab," $500,000.00 "
M Vohra,2015,Kings XI Punjab," $58,333.00 "
MG Johnson,2015,Kings XI Punjab," $1,083,000.00 "
NLTC Perera,2015,Kings XI Punjab," $266,000.00 "
NS Naik,2015,Kings XI Punjab," $50,000.00 "
P Awana,2015,Kings XI Punjab," $108,000.00 "
R Dhawan,2015,Kings XI Punjab," $500,000.00 "
Sandeep Sharma,2015,Kings XI Punjab," $141,000.00 "
SE Marsh,2015,Kings XI Punjab," $366,000.00 "
Shivam Sharma,2015,Kings XI Punjab," $16,000.00 "
SN Thakur,2015,Kings XI Punjab," $33,000.00 "
V Sehwag,2015,Kings XI Punjab," $533,000.00 "
WP Saha,2015,Kings XI Punjab," $366,000.00 "
AD Russell,2015,Kolkata Knight Riders," $100,000.00 "
Azhar Mahmood,2015,Kolkata Knight Riders," $200,000.00 "
CA Lynn,2015,Kolkata Knight Riders," $216,000.00 "
G Gambhir,2015,Kolkata Knight Riders," $1,666,667.00 "
GB Hogg,2015,Kolkata Knight Riders," $83,333.00 "
J Botha,2015,Kolkata Knight Riders," $950,000.00 "
JDS Neesham,2015,Kolkata Knight Riders," $83,333.00 "
KC Cariappa,2015,Kolkata Knight Riders," $400,000.00 "
Kuldeep Yadav,2015,Kolkata Knight Riders," $66,000.00 "
M Morkel,2015,Kolkata Knight Riders," $466,000.00 "
MK Pandey,2015,Kolkata Knight Riders," $283,000.00 "
PP Chawla,2015,Kolkata Knight Riders," $708,000.00 "
RN ten Doeschate,2015,Kolkata Knight Riders," $166,000.00 "
RV Uthappa,2015,Kolkata Knight Riders," $833,000.00 "
S Narwal,2015,Kolkata Knight Riders," $16,667.00 "
SA Yadav,2015,Kolkata Knight Riders," $116,000.00 "
Shakib Al Hasan,2015,Kolkata Knight Riders," $466,000.00 "
SP Narine,2015,Kolkata Knight Riders," $700,000.00 "
UT Yadav,2015,Kolkata Knight Riders," $433,000.00 "
V Pratap Singh,2015,Kolkata Knight Riders," $66,000.00 "
YK Pathan,2015,Kolkata Knight Riders," $541,000.00 "
AJ Finch,2015,Mumbai Indians," $533,333.00 "
AP Tare,2015,Mumbai Indians," $266,000.00 "
CJ Anderson,2015,Mumbai Indians," $750,000.00 "
Harbhajan Singh,2015,Mumbai Indians," $1,333,333.00 "
HH Pandya,2015,Mumbai Indians," $16,667.00 "
J Suchith,2015,Mumbai Indians," $16,667.00 "
JJ Bumrah,2015,Mumbai Indians," $200,000.00 "
KA Pollard,2015,Mumbai Indians," $900,000.00 "
M de Lange,2015,Mumbai Indians," $50,000.00 "
MJ McClenaghan,2015,Mumbai Indians," $50,000.00 "
P Suyal,2015,Mumbai Indians," $16,000.00 "
PA Patel,2015,Mumbai Indians," $233,000.00 "
PP Ojha,2015,Mumbai Indians," $83,333.00 "
R Vinay Kumar,2015,Mumbai Indians," $466,000.00 "
RG Sharma,2015,Mumbai Indians," $1,916,667.00 "
S Gopal,2015,Mumbai Indians," $16,000.00 "
SL Malinga,2015,Mumbai Indians," $1,350,000.00 "
UBT Chand,2015,Mumbai Indians," $108,000.00 "
AM Nayar,2015,Rajasthan Royals," $166,000.00 "
AM Rahane,2015,Rajasthan Royals," $1,333,333.00 "
BCJ Cutting,2015,Rajasthan Royals," $133,000.00 "
CH Morris,2015,Rajasthan Royals," $233,333.00 "
DH Yagnik,2015,Rajasthan Royals," $50,000.00 "
DJ Hooda,2015,Rajasthan Royals," $66,000.00 "
DS Kulkarni,2015,Rajasthan Royals," $183,000.00 "
J Theron,2015,Rajasthan Royals," $50,000.00 "
JP Faulkner,2015,Rajasthan Royals," $850,000.00 "
KK Nair,2015,Rajasthan Royals," $125,000.00 "
KW Richardson,2015,Rajasthan Royals," $166,000.00 "
PV Tambe,2015,Rajasthan Royals," $16,000.00 "
R Bhatia,2015,Rajasthan Royals," $283,000.00 "
SPD Smith,2015,Rajasthan Royals," $666,000.00 "
SR Watson,2015,Rajasthan Royals," $1,300,000.00 "
TG Southee,2015,Rajasthan Royals," $200,000.00 "
VS Malik,2015,Rajasthan Royals," $33,000.00 "
AB de Villiers,2015,Royal Challengers Bangalore," $1,583,333.00 "
AB Dinda,2015,Royal Challengers Bangalore," $250,000.00 "
AF Milne,2015,Royal Challengers Bangalore," $116,667.00 "
AN Ahmed,2015,Royal Challengers Bangalore," $50,000.00 "
CH Gayle,2015,Royal Challengers Bangalore," $1,400,000.00 "
D Wiese,2015,Royal Challengers Bangalore," $466,667.00 "
DJG Sammy,2015,Royal Challengers Bangalore," $466,667.00 "
HV Patel,2015,Royal Challengers Bangalore," $66,000.00 "
Iqbal Abdulla,2015,Royal Challengers Bangalore," $108,000.00 "
Jalaj S Saxena,2015,Royal Challengers Bangalore," $16,667.00 "
KD Karthik,2015,Royal Challengers Bangalore," $1,750,000.00 "
MA Starc,2015,Royal Challengers Bangalore," $833,000.00 "
Mandeep Singh,2015,Royal Challengers Bangalore," $133,000.00 "
MS Bisla,2015,Royal Challengers Bangalore," $100,000.00 "
NJ Maddinson,2015,Royal Challengers Bangalore," $83,000.00 "
S Badrinath,2015,Royal Challengers Bangalore," $50,000.00 "
SA Abbott,2015,Royal Challengers Bangalore," $166,667.00 "
SN Khan,2015,Royal Challengers Bangalore," $83,333.00 "
V Kohli,2015,Royal Challengers Bangalore," $2,500,000.00 "
VH Zol,2015,Royal Challengers Bangalore," $50,000.00 "
VR Aaron,2015,Royal Challengers Bangalore," $333,000.00 "
YS Chahal,2015,Royal Challengers Bangalore," $16,000.00 "
YV Takawale,2015,Royal Challengers Bangalore," $16,000.00 "
A Ashish Reddy,2015,Sunrisers Hyderabad," $33,000.00 "
B Kumar,2015,Sunrisers Hyderabad," $708,000.00 "
DA Warner,2015,Sunrisers Hyderabad," $916,000.00 "
DW Steyn,2015,Sunrisers Hyderabad," $1,200,000.00 "
EJG Morgan,2015,Sunrisers Hyderabad," $250,000.00 "
GH Vihari,2015,Sunrisers Hyderabad," $16,667.00 "
I Sharma,2015,Sunrisers Hyderabad," $433,000.00 "
KL Rahul,2015,Sunrisers Hyderabad," $166,000.00 "
KP Pietersen,2015,Sunrisers Hyderabad," $333,333.00 "
KS Williamson,2015,Sunrisers Hyderabad," $100,000.00 "
KV Sharma,2015,Sunrisers Hyderabad," $625,000.00 "
LR Shukla,2015,Sunrisers Hyderabad," $50,000.00 "
MC Henriques,2015,Sunrisers Hyderabad," $166,000.00 "
NV Ojha,2015,Sunrisers Hyderabad," $83,000.00 "
P Kumar,2015,Sunrisers Hyderabad," $366,667.00 "
Parvez Rasool,2015,Sunrisers Hyderabad," $158,000.00 "
RK Bhui,2015,Sunrisers Hyderabad," $16,000.00 "
RS Bopara,2015,Sunrisers Hyderabad," $166,667.00 "
S Dhawan,2015,Sunrisers Hyderabad," $2,083,333.00 "
TA Boult,2015,Sunrisers Hyderabad," $633,333.00 "
A Mishra,2016,Delhi Daredevils," $15,000.00 "
Akhil Arvind Herwadk,2016,Delhi Daredevils," $15,000.00 "
CH Morris,2016,Delhi Daredevils," $1,050,000.00 "
Chama Milind,2016,Delhi Daredevils," $15,000.00 "
CR Brathwaite,2016,Delhi Daredevils," $630,000.00 "
J Yadav,2016,Delhi Daredevils," $16,000.00 "
JA Morkel,2016,Delhi Daredevils," $50,000.00 "
JP Duminy,2016,Delhi Daredevils," $366,000.00 "
JS Paris,2016,Delhi Daredevils," $45,000.00 "
KK Nair,2016,Delhi Daredevils," $600,000.00 "
MA Agarwal,2016,Delhi Daredevils," $266,000.00 "
MK Lomror,2016,Delhi Daredevils," $15,000.00 "
Mohammed Shami,2016,Delhi Daredevils," $708,000.00 "
NM Coulter-Nile,2016,Delhi Daredevils," $708,000.00 "
P Negi,2016,Delhi Daredevils," $1,275,000.00 "
P Suyal,2016,Delhi Daredevils," $15,000.00 "
Pratyush Singh,2016,Delhi Daredevils," $15,000.00 "
Q de Kock,2016,Delhi Daredevils," $583,000.00 "
RR Pant,2016,Delhi Daredevils," $285,000.00 "
S Nadeem,2016,Delhi Daredevils," $141,000.00 "
SS Iyer,2016,Delhi Daredevils," $433,333.00 "
SS Tiwary,2016,Delhi Daredevils," $116,000.00 "
SV Samson,2016,Delhi Daredevils," $630,000.00 "
SW Billings,2016,Delhi Daredevils," $45,000.00 "
Syed Khaleel Ahmed,2016,Delhi Daredevils," $15,000.00 "
Z Khan,2016,Delhi Daredevils," $666,667.00 "
AD Nath,2016,Gujarat Lions," $15,000.00 "
AJ Finch,2016,Gujarat Lions," $150,000.00 "
AJ Tye,2016,Gujarat Lions," $75,000.00 "
BB McCullum,2016,Gujarat Lions," $541,000.00 "
DJ Bravo,2016,Gujarat Lions," $666,667.00 "
DR Smith,2016,Gujarat Lions," $345,000.00 "
DS Kulkarni,2016,Gujarat Lions," $300,000.00 "
DW Steyn,2016,Gujarat Lions," $345,000.00 "
Eklavya Dwivedi,2016,Gujarat Lions," $150,000.00 "
Ishan Kishan,2016,Gujarat Lions," $52,500.00 "
Jaydev Shah,2016,Gujarat Lions," $30,000.00 "
JP Faulkner,2016,Gujarat Lions," $850,000.00 "
KD Karthik,2016,Gujarat Lions," $345,000.00 "
P Dogra,2016,Gujarat Lions," $15,000.00 "
P Kumar,2016,Gujarat Lions," $525,000.00 "
PJ Sangwan,2016,Gujarat Lions," $30,000.00 "
PV Tambe,2016,Gujarat Lions," $30,000.00 "
RA Jadeja,2016,Gujarat Lions," $916,667.00 "
S Kaushik,2016,Gujarat Lions," $15,000.00 "
S Ladda,2016,Gujarat Lions," $15,000.00 "
SB Jakati,2016,Gujarat Lions," $30,000.00 "
SK Raina,2016,Gujarat Lions," $1,583,333.00 "
Umang Sharma,2016,Gujarat Lions," $15,000.00 "
Anureet Singh,2016,Kings XI Punjab," $33,000.00 "
AR Patel,2016,Kings XI Punjab," $125,000.00 "
Armaan Jaffer,2016,Kings XI Punjab," $15,000.00 "
DA Miller,2016,Kings XI Punjab," $833,333.00 "
F Behardien,2016,Kings XI Punjab," $45,000.00 "
GJ Maxwell,2016,Kings XI Punjab," $1,000,000.00 "
Gurkeerat Singh,2016,Kings XI Punjab," $216,000.00 "
KC Cariappa,2016,Kings XI Punjab," $120,000.00 "
KJ Abbott,2016,Kings XI Punjab," $315,000.00 "
M Vijay,2016,Kings XI Punjab," $500,000.00 "
M Vohra,2016,Kings XI Punjab," $58,333.00 "
MG Johnson,2016,Kings XI Punjab," $1,083,000.00 "
MM Sharma,2016,Kings XI Punjab," $975,000.00 "
MP Stoinis,2016,Kings XI Punjab," $82,500.00 "
NS Naik,2016,Kings XI Punjab," $50,000.00 "
P Sahu,2016,Kings XI Punjab," $15,000.00 "
R Dhawan,2016,Kings XI Punjab," $500,000.00 "
Sandeep Sharma,2016,Kings XI Punjab," $141,000.00 "
SE Marsh,2016,Kings XI Punjab," $366,000.00 "
SN Thakur,2016,Kings XI Punjab," $33,000.00 "
Swapnil Singh,2016,Kings XI Punjab," $15,000.00 "
WP Saha,2016,Kings XI Punjab," $366,000.00 "
AD Russell,2016,Kolkata Knight Riders," $100,000.00 "
AS Rajpoot,2016,Kolkata Knight Riders," $225,000.00 "
C Munro,2016,Kolkata Knight Riders," $45,000.00 "
CA Lynn,2016,Kolkata Knight Riders," $216,000.00 "
G Gambhir,2016,Kolkata Knight Riders," $1,666,667.00 "
GB Hogg,2016,Kolkata Knight Riders," $83,333.00 "
JD Unadkat,2016,Kolkata Knight Riders," $240,000.00 "
JO Holder,2016,Kolkata Knight Riders," $105,000.00 "
JW Hastings,2016,Kolkata Knight Riders," $195,000.00 "
Kuldeep Yadav,2016,Kolkata Knight Riders," $66,000.00 "
M Morkel,2016,Kolkata Knight Riders," $466,000.00 "
Manan Ajay Sharma,2016,Kolkata Knight Riders," $15,000.00 "
MK Pandey,2016,Kolkata Knight Riders," $283,000.00 "
PP Chawla,2016,Kolkata Knight Riders," $708,000.00 "
R Sathish,2016,Kolkata Knight Riders," $30,000.00 "
RV Uthappa,2016,Kolkata Knight Riders," $833,000.00 "
SA Yadav,2016,Kolkata Knight Riders," $116,000.00 "
Shakib Al Hasan,2016,Kolkata Knight Riders," $466,000.00 "
SP Narine,2016,Kolkata Knight Riders," $700,000.00 "
UT Yadav,2016,Kolkata Knight Riders," $433,000.00 "
YK Pathan,2016,Kolkata Knight Riders," $541,000.00 "
CJ Anderson,2016,Mumbai Indians," $750,000.00 "
Deepak Punia,2016,Mumbai Indians," $15,000.00 "
Harbhajan Singh,2016,Mumbai Indians," $1,333,333.00 "
HH Pandya,2016,Mumbai Indians," $16,667.00 "
J Suchith,2016,Mumbai Indians," $16,667.00 "
JC Buttler,2016,Mumbai Indians," $570,000.00 "
Jitesh Sharma,2016,Mumbai Indians," $15,000.00 "
JJ Bumrah,2016,Mumbai Indians," $200,000.00 "
KA Pollard,2016,Mumbai Indians," $900,000.00 "
KH Pandya,2016,Mumbai Indians," $300,000.00 "
Kishore Pramod Kamat,2016,Mumbai Indians," $210,000.00 "
M de Lange,2016,Mumbai Indians," $50,000.00 "
MJ McClenaghan,2016,Mumbai Indians," $50,000.00 "
NB Singh,2016,Mumbai Indians," $480,000.00 "
PA Patel,2016,Mumbai Indians," $233,000.00 "
R Vinay Kumar,2016,Mumbai Indians," $466,000.00 "
RG Sharma,2016,Mumbai Indians," $1,916,667.00 "
S Gopal,2016,Mumbai Indians," $16,000.00 "
SL Malinga,2016,Mumbai Indians," $1,350,000.00 "
TG Southee,2016,Mumbai Indians," $375,000.00 "
UBT Chand,2016,Mumbai Indians," $108,000.00 "
A Zampa,2016,Rising Pune Supergiants," $45,000.00 "
AB Dinda,2016,Rising Pune Supergiants," $75,000.00 "
AM Rahane,2016,Rising Pune Supergiants," $1,333,333.00 "
Ankit Sharma,2016,Rising Pune Supergiants," $15,000.00 "
Ankush Bains,2016,Rising Pune Supergiants," $15,000.00 "
Baba Aparajith,2016,Rising Pune Supergiants," $15,000.00 "
DL Chahar,2016,Rising Pune Supergiants," $15,000.00 "
F du Plessis,2016,Rising Pune Supergiants," $791,000.00 "
GJ Bailey,2016,Rising Pune Supergiants," $541,000.00 "
I Sharma,2016,Rising Pune Supergiants," $570,000.00 "
IC Pandey,2016,Rising Pune Supergiants," $30,000.00 "
IK Pathan,2016,Rising Pune Supergiants," $150,000.00 "
Jaskaran Singh,2016,Rising Pune Supergiants," $15,000.00 "
KP Pietersen,2016,Rising Pune Supergiants," $525,000.00 "
MR Marsh,2016,Rising Pune Supergiants," $720,000.00 "
MS Dhoni,2016,Rising Pune Supergiants," $2,083,333.00 "
NLTC Perera,2016,Rising Pune Supergiants," $150,000.00 "
PSP Handscomb,2016,Rising Pune Supergiants," $45,000.00 "
R Ashwin,2016,Rising Pune Supergiants," $1,250,000.00 "
R Bhatia,2016,Rising Pune Supergiants," $90,000.00 "
RP Singh,2016,Rising Pune Supergiants," $45,000.00 "
SM Boland,2016,Rising Pune Supergiants," $75,000.00 "
SPD Smith,2016,Rising Pune Supergiants," $666,000.00 "
AB de Villiers,2016,Royal Challengers Bangalore," $1,583,333.00 "
AF Milne,2016,Royal Challengers Bangalore," $116,667.00 "
Akshay Karnewar,2016,Royal Challengers Bangalore," $15,000.00 "
AN Ahmed,2016,Royal Challengers Bangalore," $50,000.00 "
CH Gayle,2016,Royal Challengers Bangalore," $1,400,000.00 "
D Wiese,2016,Royal Challengers Bangalore," $466,667.00 "
HV Patel,2016,Royal Challengers Bangalore," $66,000.00 "
Iqbal Abdulla,2016,Royal Challengers Bangalore," $15,000.00 "
KM Jadhav,2016,Royal Challengers Bangalore," $333,000.00 "
KW Richardson,2016,Royal Challengers Bangalore," $300,000.00 "
MA Starc,2016,Royal Challengers Bangalore," $833,000.00 "
Mandeep Singh,2016,Royal Challengers Bangalore," $133,000.00 "
P Dubey,2016,Royal Challengers Bangalore," $52,500.00 "
S Badree,2016,Royal Challengers Bangalore," $75,000.00 "
SA Abbott,2016,Royal Challengers Bangalore," $166,667.00 "
Sachin Baby,2016,Royal Challengers Bangalore," $15,000.00 "
SN Khan,2016,Royal Challengers Bangalore," $83,333.00 "
SR Watson,2016,Royal Challengers Bangalore," $1,425,000.00 "
STR Binny,2016,Royal Challengers Bangalore," $300,000.00 "
TM Head,2016,Royal Challengers Bangalore," $75,000.00 "
V Kohli,2016,Royal Challengers Bangalore," $2,500,000.00 "
Vikas Tokas,2016,Royal Challengers Bangalore," $15,000.00 "
VR Aaron,2016,Royal Challengers Bangalore," $333,000.00 "
VS Malik,2016,Royal Challengers Bangalore," $30,000.00 "
YS Chahal,2016,Royal Challengers Bangalore," $16,000.00 "
A Ashish Reddy,2016,Sunrisers Hyderabad," $33,000.00 "
A Mithun,2016,Sunrisers Hyderabad," $45,000.00 "
A Nehra,2016,Sunrisers Hyderabad," $825,000.00 "
AP Tare,2016,Sunrisers Hyderabad," $180,000.00 "
B Kumar,2016,Sunrisers Hyderabad," $708,000.00 "
BB Sran,2016,Sunrisers Hyderabad," $180,000.00 "
BCJ Cutting,2016,Sunrisers Hyderabad," $75,000.00 "
DA Warner,2016,Sunrisers Hyderabad," $916,000.00 "
DJ Hooda,2016,Sunrisers Hyderabad," $630,000.00 "
EJG Morgan,2016,Sunrisers Hyderabad," $250,000.00 "
KL Rahul,2016,Sunrisers Hyderabad," $166,000.00 "
KS Williamson,2016,Sunrisers Hyderabad," $100,000.00 "
KV Sharma,2016,Sunrisers Hyderabad," $625,000.00 "
MC Henriques,2016,Sunrisers Hyderabad," $166,000.00 "
Mustafizur Rahman,2016,Sunrisers Hyderabad," $210,000.00 "
NV Ojha,2016,Sunrisers Hyderabad," $83,000.00 "
Parvez Rasool,2016,Sunrisers Hyderabad," $158,000.00 "
RK Bhui,2016,Sunrisers Hyderabad," $16,000.00 "
S Dhawan,2016,Sunrisers Hyderabad," $2,083,333.00 "
TA Boult,2016,Sunrisers Hyderabad," $633,333.00 "
