Name,Season,Team, Price ,Overall Performance Score
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",-12.14
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",91.61
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",57.34
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",33.03
AB de Villiers,2009,Delhi Daredevils," $300,000.00 ",43.56
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",25.00
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",-35.08
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",-22.33
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",39.42
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",-12.07
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",-21.02
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",-35.82
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",458.53
G Gambhir,2009,Delhi Daredevils," $725,000.00 ",556.71
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",24.61
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",20.85
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",11.63
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",-9.74
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",-19.35
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",515.04
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",36.81
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",41.65
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",16.54
KD Karthik,2009,Delhi Daredevils," $525,000.00 ",71.98
MF Maharoof,2009,Delhi Daredevils," $225,000.00 ",132.60
MK Tiwary,2009,Delhi Daredevils," $675,000.00 ",-1.18
MK Tiwary,2009,Delhi Daredevils," $675,000.00 ",-41.84
MK Tiwary,2009,Delhi Daredevils," $675,000.00 ",-24.37
MK Tiwary,2009,Delhi Daredevils," $675,000.00 ",9.94
TM Dilshan,2009,Delhi Daredevils," $250,000.00 ",30.98
TM Dilshan,2009,Delhi Daredevils," $250,000.00 ",-48.94
TM Dilshan,2009,Delhi Daredevils," $250,000.00 ",-40.45
B Lee,2009,Kings XI Punjab," $900,000.00 ",
DPMD Jayawardene,2009,Kings XI Punjab," $475,000.00 ",58.32
DPMD Jayawardene,2009,Kings XI Punjab," $475,000.00 ",12.77
DPMD Jayawardene,2009,Kings XI Punjab," $475,000.00 ",-16.66
DPMD Jayawardene,2009,Kings XI Punjab," $475,000.00 ",-24.38
DPMD Jayawardene,2009,Kings XI Punjab," $475,000.00 ",-41.82
IK Pathan,2009,Kings XI Punjab," $925,000.00 ",192.00
IK Pathan,2009,Kings XI Punjab," $925,000.00 ",-164.79
IK Pathan,2009,Kings XI Punjab," $925,000.00 ",-70.94
IK Pathan,2009,Kings XI Punjab," $925,000.00 ",199.70
KC Sangakkara,2009,Kings XI Punjab," $700,000.00 ",65.05
KC Sangakkara,2009,Kings XI Punjab," $700,000.00 ",26.08
KC Sangakkara,2009,Kings XI Punjab," $700,000.00 ",-63.20
KC Sangakkara,2009,Kings XI Punjab," $700,000.00 ",-14.76
KC Sangakkara,2009,Kings XI Punjab," $700,000.00 ",-28.97
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",-23.38
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",3.32
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",28.10
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",-84.53
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",598.13
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",322.80
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",50.64
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",375.22
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",-551.36
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",-69.83
PP Chawla,2009,Kings XI Punjab," $400,000.00 ",-152.18
RR Powar,2009,Kings XI Punjab," $170,000.00 ",
RS Bopara,2009,Kings XI Punjab," $450,000.00 ",-92.70
S Sreesanth,2009,Kings XI Punjab," $625,000.00 ",-107.07
SM Katich,2009,Kings XI Punjab," $200,000.00 ",
AB Agarkar,2009,Kolkata Knight Riders," $350,000.00 ",
BB McCullum,2009,Kolkata Knight Riders," $700,000.00 ",3.81
BB McCullum,2009,Kolkata Knight Riders," $700,000.00 ",0.69
BB McCullum,2009,Kolkata Knight Riders," $700,000.00 ",-48.06
BB McCullum,2009,Kolkata Knight Riders," $700,000.00 ",-18.81
BB McCullum,2009,Kolkata Knight Riders," $700,000.00 ",473.13
BB McCullum,2009,Kolkata Knight Riders," $700,000.00 ",12.61
BB McCullum,2009,Kolkata Knight Riders," $700,000.00 ",277.08
DJ Hussey,2009,Kolkata Knight Riders," $625,000.00 ",-86.88
DJ Hussey,2009,Kolkata Knight Riders," $625,000.00 ",117.42
DJ Hussey,2009,Kolkata Knight Riders," $625,000.00 ",15.83
I Sharma,2009,Kolkata Knight Riders," $950,000.00 ",23.79
I Sharma,2009,Kolkata Knight Riders," $950,000.00 ",-31.72
I Sharma,2009,Kolkata Knight Riders," $950,000.00 ",-1244.36
I Sharma,2009,Kolkata Knight Riders," $950,000.00 ",-11.79
M Kartik,2009,Kolkata Knight Riders," $425,000.00 ",
Mashrafe Mortaza,2009,Kolkata Knight Riders," $600,000.00 ",
Harbhajan Singh,2009,Mumbai Indians," $850,000.00 ",121.19
Harbhajan Singh,2009,Mumbai Indians," $850,000.00 ",143.13
Harbhajan Singh,2009,Mumbai Indians," $850,000.00 ",37.88
Harbhajan Singh,2009,Mumbai Indians," $850,000.00 ",579.32
Harbhajan Singh,2009,Mumbai Indians," $850,000.00 ",215.28
Harbhajan Singh,2009,Mumbai Indians," $850,000.00 ",391.22
Harbhajan Singh,2009,Mumbai Indians," $850,000.00 ",67.77
JP Duminy,2009,Mumbai Indians," $950,000.00 ",80.86
JP Duminy,2009,Mumbai Indians," $950,000.00 ",-67.74
JP Duminy,2009,Mumbai Indians," $950,000.00 ",79.61
JP Duminy,2009,Mumbai Indians," $950,000.00 ",63.04
JP Duminy,2009,Mumbai Indians," $950,000.00 ",194.02
Mohammad Ashraful,2009,Mumbai Indians," $75,000.00 ",
ST Jayasuriya,2009,Mumbai Indians," $975,000.00 ",86.70
ST Jayasuriya,2009,Mumbai Indians," $975,000.00 ",-66.98
Z Khan,2009,Mumbai Indians," $450,000.00 ",-102.15
Z Khan,2009,Mumbai Indians," $450,000.00 ",31.18
Z Khan,2009,Mumbai Indians," $450,000.00 ",-122.39
Z Khan,2009,Mumbai Indians," $450,000.00 ",-1649.34
Z Khan,2009,Mumbai Indians," $450,000.00 ",383.75
Z Khan,2009,Mumbai Indians," $450,000.00 ",-456.17
GC Smith,2009,Rajasthan Royals," $250,000.00 ",-16.44
GC Smith,2009,Rajasthan Royals," $250,000.00 ",-39.64
MM Patel,2009,Rajasthan Royals," $275,000.00 ",33.97
MM Patel,2009,Rajasthan Royals," $275,000.00 ",34.19
MM Patel,2009,Rajasthan Royals," $275,000.00 ",31.83
MM Patel,2009,Rajasthan Royals," $275,000.00 ",475.56
SK Warne,2009,Rajasthan Royals," $450,000.00 ",38.92
SK Warne,2009,Rajasthan Royals," $450,000.00 ",-16.13
SK Warne,2009,Rajasthan Royals," $450,000.00 ",137.34
T Henderson,2009,Rajasthan Royals," $650,000.00 ",
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",48.49
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",48.10
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",49.51
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",103.73
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",54.47
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",53.40
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",10.10
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",413.37
YK Pathan,2009,Rajasthan Royals," $475,000.00 ",-16.16
A Kumble,2009,Royal Challengers Bangalore," $500,000.00 ",220.62
A Kumble,2009,Royal Challengers Bangalore," $500,000.00 ",228.33
DW Steyn,2009,Royal Challengers Bangalore," $325,000.00 ",119.99
DW Steyn,2009,Royal Challengers Bangalore," $325,000.00 ",150.46
DW Steyn,2009,Royal Challengers Bangalore," $325,000.00 ",66.94
DW Steyn,2009,Royal Challengers Bangalore," $325,000.00 ",706.51
DW Steyn,2009,Royal Challengers Bangalore," $325,000.00 ",-1839.78
DW Steyn,2009,Royal Challengers Bangalore," $325,000.00 ",-6.60
JD Ryder,2009,Royal Challengers Bangalore," $160,000.00 ",33.52
JD Ryder,2009,Royal Challengers Bangalore," $160,000.00 ",-15.16
JH Kallis,2009,Royal Challengers Bangalore," $900,000.00 ",-163.25
JH Kallis,2009,Royal Challengers Bangalore," $900,000.00 ",-128.25
JH Kallis,2009,Royal Challengers Bangalore," $900,000.00 ",-18.61
JH Kallis,2009,Royal Challengers Bangalore," $900,000.00 ",528.16
JH Kallis,2009,Royal Challengers Bangalore," $900,000.00 ",147.59
KP Pietersen,2009,Royal Challengers Bangalore," $1,550,000.00 ",34.89
KP Pietersen,2009,Royal Challengers Bangalore," $1,550,000.00 ",68.77
KP Pietersen,2009,Royal Challengers Bangalore," $1,550,000.00 ",-4.42
MV Boucher,2009,Royal Challengers Bangalore," $450,000.00 ",1.48
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",-46.15
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",81.77
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",10.12
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",-14.27
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",577.87
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",54.43
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",-0.88
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",440.66
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",69.14
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",-22.34
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",-50.94
RV Uthappa,2009,Royal Challengers Bangalore," $800,000.00 ",1.81
W Jaffer,2009,Royal Challengers Bangalore," $150,000.00 ",
GJ Bailey,2010,Chennai Super Kings," $50,000.00 ",13.32
GJ Bailey,2010,Chennai Super Kings," $50,000.00 ",87.74
JA Morkel,2010,Chennai Super Kings," $675,000.00 ",-43.25
JA Morkel,2010,Chennai Super Kings," $675,000.00 ",-60.91
JA Morkel,2010,Chennai Super Kings," $675,000.00 ",-104.98
JA Morkel,2010,Chennai Super Kings," $675,000.00 ",-178.08
JA Morkel,2010,Chennai Super Kings," $675,000.00 ",-1359.72
JM Kemp,2010,Chennai Super Kings," $100,000.00 ",
Joginder Sharma,2010,Chennai Super Kings," $225,000.00 ",
M Muralitharan,2010,Chennai Super Kings," $600,000.00 ",104.81
M Muralitharan,2010,Chennai Super Kings," $600,000.00 ",51.58
M Muralitharan,2010,Chennai Super Kings," $600,000.00 ",283.87
M Muralitharan,2010,Chennai Super Kings," $600,000.00 ",-134.08
MEK Hussey,2010,Chennai Super Kings," $250,000.00 ",-24.69
MEK Hussey,2010,Chennai Super Kings," $250,000.00 ",-22.04
MEK Hussey,2010,Chennai Super Kings," $250,000.00 ",61.45
MEK Hussey,2010,Chennai Super Kings," $250,000.00 ",-12.18
ML Hayden,2010,Chennai Super Kings," $375,000.00 ",-37.32
ML Hayden,2010,Chennai Super Kings," $375,000.00 ",108.39
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",-22.32
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",19.41
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",33.69
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",85.61
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",470.03
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",86.87
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",44.82
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",471.88
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",-1.70
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",-58.21
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",30.81
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",-26.66
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",-38.44
MS Dhoni,2010,Chennai Super Kings," $1,500,000.00 ",-20.15
PA Patel,2010,Chennai Super Kings," $325,000.00 ",-103.65
PA Patel,2010,Chennai Super Kings," $325,000.00 ",331.84
PA Patel,2010,Chennai Super Kings," $325,000.00 ",-20.91
PA Patel,2010,Chennai Super Kings," $325,000.00 ",24.65
PA Patel,2010,Chennai Super Kings," $325,000.00 ",378.00
PA Patel,2010,Chennai Super Kings," $325,000.00 ",14.91
SK Raina,2010,Chennai Super Kings," $650,000.00 ",49.40
SK Raina,2010,Chennai Super Kings," $650,000.00 ",45.53
SK Raina,2010,Chennai Super Kings," $650,000.00 ",143.78
SK Raina,2010,Chennai Super Kings," $650,000.00 ",24.69
SK Raina,2010,Chennai Super Kings," $650,000.00 ",140.09
SK Raina,2010,Chennai Super Kings," $650,000.00 ",110.92
SK Raina,2010,Chennai Super Kings," $650,000.00 ",54.06
SK Raina,2010,Chennai Super Kings," $650,000.00 ",342.94
SK Raina,2010,Chennai Super Kings," $650,000.00 ",25.12
SK Raina,2010,Chennai Super Kings," $650,000.00 ",551.31
SK Raina,2010,Chennai Super Kings," $650,000.00 ",-46.03
SK Raina,2010,Chennai Super Kings," $650,000.00 ",-34.95
T Thushara,2010,Chennai Super Kings," $140,000.00 ",
A Symonds,2010,Deccan Chargers," $1,350,000.00 ",36.91
A Symonds,2010,Deccan Chargers," $1,350,000.00 ",83.58
AC Gilchrist,2010,Deccan Chargers," $700,000.00 ",21.23
AC Gilchrist,2010,Deccan Chargers," $700,000.00 ",29.75
AC Gilchrist,2010,Deccan Chargers," $700,000.00 ",111.55
AC Gilchrist,2010,Deccan Chargers," $700,000.00 ",14.60
AC Gilchrist,2010,Deccan Chargers," $700,000.00 ",24.63
DR Smith,2010,Deccan Chargers," $100,000.00 ",-32.09
DR Smith,2010,Deccan Chargers," $100,000.00 ",-12.58
DR Smith,2010,Deccan Chargers," $100,000.00 ",0.91
DR Smith,2010,Deccan Chargers," $100,000.00 ",646.46
DR Smith,2010,Deccan Chargers," $100,000.00 ",160.88
DR Smith,2010,Deccan Chargers," $100,000.00 ",-880.00
HH Gibbs,2010,Deccan Chargers," $575,000.00 ",-16.33
HH Gibbs,2010,Deccan Chargers," $575,000.00 ",-9.07
KAJ Roach,2010,Deccan Chargers," $720,000.00 ",
RG Sharma,2010,Deccan Chargers," $750,000.00 ",53.79
RG Sharma,2010,Deccan Chargers," $750,000.00 ",-44.01
RG Sharma,2010,Deccan Chargers," $750,000.00 ",-16.00
RG Sharma,2010,Deccan Chargers," $750,000.00 ",5.10
RG Sharma,2010,Deccan Chargers," $750,000.00 ",13.86
RG Sharma,2010,Deccan Chargers," $750,000.00 ",62.99
RG Sharma,2010,Deccan Chargers," $750,000.00 ",-0.40
RG Sharma,2010,Deccan Chargers," $750,000.00 ",21.34
RG Sharma,2010,Deccan Chargers," $750,000.00 ",-8.87
RG Sharma,2010,Deccan Chargers," $750,000.00 ",387.44
RG Sharma,2010,Deccan Chargers," $750,000.00 ",10.51
RG Sharma,2010,Deccan Chargers," $750,000.00 ",-34.55
RG Sharma,2010,Deccan Chargers," $750,000.00 ",-4.78
RG Sharma,2010,Deccan Chargers," $750,000.00 ",-19.13
RG Sharma,2010,Deccan Chargers," $750,000.00 ",-35.83
RP Singh,2010,Deccan Chargers," $875,000.00 ",-139.82
RP Singh,2010,Deccan Chargers," $875,000.00 ",-191.82
RP Singh,2010,Deccan Chargers," $875,000.00 ",-5.35
RP Singh,2010,Deccan Chargers," $875,000.00 ",-29.13
RP Singh,2010,Deccan Chargers," $875,000.00 ",115.79
VVS Laxman,2010,Deccan Chargers," $375,000.00 ",
WPUJC Vaas,2010,Deccan Chargers," $200,000.00 ",
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",31.97
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",21.70
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",343.32
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",108.60
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",56.95
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",97.27
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",150.35
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",-12.14
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",91.61
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",57.34
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",33.03
AB de Villiers,2010,Delhi Daredevils," $300,000.00 ",43.56
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",25.00
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",-35.08
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",-22.33
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",39.42
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",-12.07
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",-21.02
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",-35.82
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",458.53
G Gambhir,2010,Delhi Daredevils," $725,000.00 ",556.71
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",24.61
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",20.85
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",11.63
KD Karthik,2010,Delhi Daredevils," $525,000.00 ",-9.74
