Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
CL White,Deccan Chargers,89.13,8.14,97.27,97.28,2012,2012,CL White|Deccan Chargers,CL White|Deccan Chargers|2012
DA Warner,Delhi Daredevils,49.37,0,49.37,49.37,2012,2012,DA Warner|Delhi Daredevils,DA Warner|Delhi Daredevils|2012
DJ Bravo,Chennai Super Kings,622.46,-998.93,-376.47,-376.46,2012,2012,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2012
DJ Hussey,Kings XI Punjab,24.48,92.94,117.42,117.41,2012,2012,DJ Hussey|Kings XI Punjab,DJ Hussey|Kings XI Punjab|2012
DPMD Jayawardene,Delhi Daredevils,-24.38,0,-24.38,-24.38,2012,2012,DPMD Jayawardene|Delhi Daredevils,DPMD Jayawardene|Delhi Daredevils|2012
DW Steyn,Deccan Chargers,0.23,706.28,706.51,706.51,2012,2012,DW Steyn|Deccan Chargers,DW Steyn|Deccan Chargers|2012
F du Plessis,Chennai Super Kings,488.95,-4.29,484.66,484.66,2012,2012,F du Plessis|Chennai Super Kings,F du Plessis|Chennai Super Kings|2012
G Gambhir,Kolkata Knight Riders,39.42,0,39.42,39.42,2012,2012,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2012
GB Hogg,Rajasthan Royals,-3.39,423.44,420.05,420.05,2012,2012,GB Hogg|Rajasthan Royals,GB Hogg|Rajasthan Royals|2012
JA Morkel,Chennai Super Kings,320.43,-1680.15,-1359.72,-1359.73,2012,2012,JA Morkel|Chennai Super Kings,JA Morkel|Chennai Super Kings|2012
JD Ryder,Pune Warriors,-21.21,6.05,-15.16,-15.16,2012,2012,JD Ryder|Pune Warriors,JD Ryder|Pune Warriors|2012
JH Kallis,Kolkata Knight Riders,-64.6,592.76,528.16,528.15,2012,2012,JH Kallis|Kolkata Knight Riders,JH Kallis|Kolkata Knight Riders|2012
JP Duminy,Deccan Chargers,9.05,70.56,79.61,79.61,2012,2012,JP Duminy|Deccan Chargers,JP Duminy|Deccan Chargers|2012
KA Pollard,Mumbai Indians,23.91,199.59,223.5,223.51,2012,2012,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2012
KC Sangakkara,Deccan Chargers,-28.97,0,-28.97,-28.97,2012,2012,KC Sangakkara|Deccan Chargers,KC Sangakkara|Deccan Chargers|2012
KK Cooper,Rajasthan Royals,15.34,207.08,222.42,222.42,2012,2012,KK Cooper|Rajasthan Royals,KK Cooper|Rajasthan Royals|2012
KP Pietersen,Delhi Daredevils,35.49,33.28,68.77,68.77,2012,2012,KP Pietersen|Delhi Daredevils,KP Pietersen|Delhi Daredevils|2012
L Balaji,Kolkata Knight Riders,0,484.63,484.63,484.63,2012,2012,L Balaji|Kolkata Knight Riders,L Balaji|Kolkata Knight Riders|2012
M Morkel,Delhi Daredevils,-2.68,728.55,725.87,725.87,2012,2012,M Morkel|Delhi Daredevils,M Morkel|Delhi Daredevils|2012
M Muralitharan,Royal Challengers Bangalore,-2.05,-132.03,-134.08,-134.07,2012,2012,M Muralitharan|Royal Challengers Bangalore,M Muralitharan|Royal Challengers Bangalore|2012
M Vijay,Chennai Super Kings,215.1,0,215.1,215.1,2012,2012,M Vijay|Chennai Super Kings,M Vijay|Chennai Super Kings|2012
MEK Hussey,Chennai Super Kings,-22.04,0,-22.04,-22.04,2012,2012,MEK Hussey|Chennai Super Kings,MEK Hussey|Chennai Super Kings|2012
MK Tiwary,Kolkata Knight Riders,-24.37,0,-24.37,-24.37,2012,2012,MK Tiwary|Kolkata Knight Riders,MK Tiwary|Kolkata Knight Riders|2012
MM Patel,Mumbai Indians,-3.05,478.61,475.56,475.57,2012,2012,MM Patel|Mumbai Indians,MM Patel|Mumbai Indians|2012
MS Bisla,Kolkata Knight Riders,12.17,0,12.17,12.17,2012,2012,MS Bisla|Kolkata Knight Riders,MS Bisla|Kolkata Knight Riders|2012
MS Dhoni,Chennai Super Kings,470.03,0,470.03,470.03,2012,2012,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2012
Mandeep Singh,Kings XI Punjab,-12.96,0,-12.96,-12.96,2012,2012,Mandeep Singh|Kings XI Punjab,Mandeep Singh|Kings XI Punjab|2012
NV Ojha,Delhi Daredevils,-23.99,0,-23.99,-23.99,2012,2012,NV Ojha|Delhi Daredevils,NV Ojha|Delhi Daredevils|2012
OA Shah,Rajasthan Royals,15.89,0,15.89,15.89,2012,2012,OA Shah|Rajasthan Royals,OA Shah|Rajasthan Royals|2012
P Awana,Kings XI Punjab,-0.47,361.72,361.25,361.25,2012,2012,P Awana|Kings XI Punjab,P Awana|Kings XI Punjab|2012
PP Chawla,Kings XI Punjab,4.84,593.29,598.13,598.14,2012,2012,PP Chawla|Kings XI Punjab,PP Chawla|Kings XI Punjab|2012
R Ashwin,Chennai Super Kings,0.96,-2087.77,-2086.81,-2086.81,2012,2012,R Ashwin|Chennai Super Kings,R Ashwin|Chennai Super Kings|2012
R Bhatia,Kolkata Knight Riders,0.51,390.44,390.95,390.95,2012,2012,R Bhatia|Kolkata Knight Riders,R Bhatia|Kolkata Knight Riders|2012
R Dravid,Rajasthan Royals,-35.96,0,-35.96,-35.96,2012,2012,R Dravid|Rajasthan Royals,R Dravid|Rajasthan Royals|2012
R Vinay Kumar,Royal Challengers Bangalore,394.54,-3143.24,-2748.7,-2748.69,2012,2012,R Vinay Kumar|Royal Challengers Bangalore,R Vinay Kumar|Royal Challengers Bangalore|2012
RA Jadeja,Chennai Super Kings,689.87,-1023.83,-333.96,-333.96,2012,2012,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2012
RG Sharma,Mumbai Indians,18.68,-4.82,13.86,13.85,2012,2012,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2012
RV Uthappa,Pune Warriors,-14.27,0,-14.27,-14.27,2012,2012,RV Uthappa|Pune Warriors,RV Uthappa|Pune Warriors|2012
S Dhawan,Deccan Chargers,42.85,11.54,54.39,54.4,2012,2012,S Dhawan|Deccan Chargers,S Dhawan|Deccan Chargers|2012
SC Ganguly,Pune Warriors,-75.37,27.3,-48.07,-48.07,2012,2012,SC Ganguly|Pune Warriors,SC Ganguly|Pune Warriors|2012
SE Marsh,Kings XI Punjab,-46.43,0,-46.43,-46.43,2012,2012,SE Marsh|Kings XI Punjab,SE Marsh|Kings XI Punjab|2012
SK Raina,Chennai Super Kings,580.23,-440.14,140.09,140.09,2012,2012,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2012
SK Trivedi,Rajasthan Royals,-0.36,587.24,586.88,586.88,2012,2012,SK Trivedi|Rajasthan Royals,SK Trivedi|Rajasthan Royals|2012
SL Malinga,Mumbai Indians,-7.48,781.71,774.23,774.23,2012,2012,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2012
