Player,Team,batting_score,bowling_score,overall_score,Overall E(D),Season,Season_Adj,Player_team,Player_team_season
AR Patel,Kings XI Punjab,-16.37,278.35,261.98,261.98,2014,2014,AR Patel|Kings XI Punjab,AR Patel|Kings XI Punjab|2014
AT Rayudu,Mumbai Indians,-31.4,0,-31.4,-31.4,2014,2014,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2014
B Kumar,Sunrisers Hyderabad,-0.76,173.66,172.9,172.89,2014,2014,B Kumar|Sunrisers Hyderabad,B Kumar|Sunrisers Hyderabad|2014
BB McCullum,Chennai Super Kings,-18.81,0,-18.81,-18.81,2014,2014,BB McCullum|Chennai Super Kings,BB McCullum|Chennai Super Kings|2014
CJ Anderson,Mumbai Indians,26.45,-144.11,-117.66,-117.66,2014,2014,CJ Anderson|Mumbai Indians,CJ Anderson|Mumbai Indians|2014
DA Miller,Kings XI Punjab,39.02,0,39.02,39.02,2014,2014,DA Miller|Kings XI Punjab,DA Miller|Kings XI Punjab|2014
DA Warner,Sunrisers Hyderabad,46.04,0,46.04,46.04,2014,2014,DA Warner|Sunrisers Hyderabad,DA Warner|Sunrisers Hyderabad|2014
DR Smith,Chennai Super Kings,20.3,-19.39,0.91,0.91,2014,2014,DR Smith|Chennai Super Kings,DR Smith|Chennai Super Kings|2014
DW Steyn,Sunrisers Hyderabad,-3.82,-2.78,-6.6,-6.6,2014,2014,DW Steyn|Sunrisers Hyderabad,DW Steyn|Sunrisers Hyderabad|2014
F du Plessis,Chennai Super Kings,22.78,0,22.78,22.78,2014,2014,F du Plessis|Chennai Super Kings,F du Plessis|Chennai Super Kings|2014
G Gambhir,Kolkata Knight Riders,-21.02,0,-21.02,-21.02,2014,2014,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2014
GJ Bailey,Kings XI Punjab,13.32,0,13.32,13.32,2014,2014,GJ Bailey|Kings XI Punjab,GJ Bailey|Kings XI Punjab|2014
GJ Maxwell,Kings XI Punjab,127.53,-91.06,36.47,36.48,2014,2014,GJ Maxwell|Kings XI Punjab,GJ Maxwell|Kings XI Punjab|2014
Harbhajan Singh,Mumbai Indians,2.18,213.1,215.28,215.29,2014,2014,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2014
JD Unadkat,Delhi Daredevils,-1.65,-99.2,-100.85,-100.85,2014,2014,JD Unadkat|Delhi Daredevils,JD Unadkat|Delhi Daredevils|2014
JP Duminy,Delhi Daredevils,-2.28,65.32,63.04,63.04,2014,2014,JP Duminy|Delhi Daredevils,JP Duminy|Delhi Daredevils|2014
JP Faulkner,Rajasthan Royals,45.03,-286.3,-241.27,-241.26,2014,2014,JP Faulkner|Rajasthan Royals,JP Faulkner|Rajasthan Royals|2014
KA Pollard,Mumbai Indians,-9.98,-201.51,-211.49,-211.49,2014,2014,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2014
KD Karthik,Delhi Daredevils,-9.74,0,-9.74,-9.74,2014,2014,KD Karthik|Delhi Daredevils,KD Karthik|Delhi Daredevils|2014
KK Nair,Rajasthan Royals,26.04,0,26.04,26.04,2014,2014,KK Nair|Rajasthan Royals,KK Nair|Rajasthan Royals|2014
KP Pietersen,Delhi Daredevils,-4.42,0,-4.42,-4.42,2014,2014,KP Pietersen|Delhi Daredevils,KP Pietersen|Delhi Daredevils|2014
KV Sharma,Sunrisers Hyderabad,10.23,3.95,14.18,14.18,2014,2014,KV Sharma|Sunrisers Hyderabad,KV Sharma|Sunrisers Hyderabad|2014
Karanveer Singh,Kings XI Punjab,0.09,-4.57,-4.48,-4.48,2014,2014,Karanveer Singh|Kings XI Punjab,Karanveer Singh|Kings XI Punjab|2014
L Balaji,Kings XI Punjab,-1.72,-115.6,-117.32,-117.32,2014,2014,L Balaji|Kings XI Punjab,L Balaji|Kings XI Punjab|2014
LMP Simmons,Mumbai Indians,20.67,-19.49,1.18,1.18,2014,2014,LMP Simmons|Mumbai Indians,LMP Simmons|Mumbai Indians|2014
M Morkel,Kolkata Knight Riders,2.24,10.54,12.78,12.77,2014,2014,M Morkel|Kolkata Knight Riders,M Morkel|Kolkata Knight Riders|2014
M Vijay,Delhi Daredevils,-38.98,-4.9,-43.88,-43.88,2014,2014,M Vijay|Delhi Daredevils,M Vijay|Delhi Daredevils|2014
M Vohra,Kings XI Punjab,35.4,0,35.4,35.4,2014,2014,M Vohra|Kings XI Punjab,M Vohra|Kings XI Punjab|2014
MA Starc,Royal Challengers Bangalore,-3.96,-21.57,-25.53,-25.53,2014,2014,MA Starc|Royal Challengers Bangalore,MA Starc|Royal Challengers Bangalore|2014
MEK Hussey,Mumbai Indians,-12.18,0,-12.18,-12.18,2014,2014,MEK Hussey|Mumbai Indians,MEK Hussey|Mumbai Indians|2014
MG Johnson,Kings XI Punjab,-9.52,-74.19,-83.71,-83.72,2014,2014,MG Johnson|Kings XI Punjab,MG Johnson|Kings XI Punjab|2014
MK Pandey,Kolkata Knight Riders,-51.43,0,-51.43,-51.43,2014,2014,MK Pandey|Kolkata Knight Riders,MK Pandey|Kolkata Knight Riders|2014
MM Sharma,Chennai Super Kings,-1.98,-96.57,-98.55,-98.55,2014,2014,MM Sharma|Chennai Super Kings,MM Sharma|Chennai Super Kings|2014
MS Dhoni,Chennai Super Kings,44.82,0,44.82,44.82,2014,2014,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2014
NV Ojha,Sunrisers Hyderabad,30.93,0,30.93,30.93,2014,2014,NV Ojha|Sunrisers Hyderabad,NV Ojha|Sunrisers Hyderabad|2014
PA Patel,Royal Challengers Bangalore,-20.91,0,-20.91,-20.91,2014,2014,PA Patel|Royal Challengers Bangalore,PA Patel|Royal Challengers Bangalore|2014
PP Chawla,Kolkata Knight Riders,9.82,40.82,50.64,50.64,2014,2014,PP Chawla|Kolkata Knight Riders,PP Chawla|Kolkata Knight Riders|2014
PV Tambe,Rajasthan Royals,-0.09,43.79,43.7,43.7,2014,2014,PV Tambe|Rajasthan Royals,PV Tambe|Rajasthan Royals|2014
R Ashwin,Chennai Super Kings,2.11,63.22,65.33,65.33,2014,2014,R Ashwin|Chennai Super Kings,R Ashwin|Chennai Super Kings|2014
R Bhatia,Rajasthan Royals,13.22,-4.14,9.08,9.08,2014,2014,R Bhatia|Rajasthan Royals,R Bhatia|Rajasthan Royals|2014
R Dhawan,Kings XI Punjab,2.57,7.42,9.99,10,2014,2014,R Dhawan|Kings XI Punjab,R Dhawan|Kings XI Punjab|2014
RA Jadeja,Chennai Super Kings,3.88,-31.83,-27.95,-27.95,2014,2014,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2014
RG Sharma,Mumbai Indians,1.31,-1.71,-0.4,-0.4,2014,2014,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2014
RV Uthappa,Kolkata Knight Riders,54.43,0,54.43,54.43,2014,2014,RV Uthappa|Kolkata Knight Riders,RV Uthappa|Kolkata Knight Riders|2014
S Dhawan,Sunrisers Hyderabad,-48.8,0,-48.8,-48.8,2014,2014,S Dhawan|Sunrisers Hyderabad,S Dhawan|Sunrisers Hyderabad|2014
SK Raina,Chennai Super Kings,56.01,-1.95,54.06,54.06,2014,2014,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2014
SL Malinga,Mumbai Indians,-1.97,127.59,125.62,125.62,2014,2014,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2014
SP Narine,Kolkata Knight Riders,-4.89,242.23,237.34,237.34,2014,2014,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2014
SR Watson,Rajasthan Royals,-9.47,-23.67,-33.14,-33.14,2014,2014,SR Watson|Rajasthan Royals,SR Watson|Rajasthan Royals|2014
SV Samson,Rajasthan Royals,10.74,0,10.74,10.74,2014,2014,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2014
Sandeep Sharma,Kings XI Punjab,-0.21,-117.15,-117.36,-117.35,2014,2014,Sandeep Sharma|Kings XI Punjab,Sandeep Sharma|Kings XI Punjab|2014
Shakib Al Hasan,Kolkata Knight Riders,11.32,174.02,185.34,185.35,2014,2014,Shakib Al Hasan|Kolkata Knight Riders,Shakib Al Hasan|Kolkata Knight Riders|2014
UT Yadav,Kolkata Knight Riders,-1.62,-97.32,-98.94,-98.95,2014,2014,UT Yadav|Kolkata Knight Riders,UT Yadav|Kolkata Knight Riders|2014
V Kohli,Royal Challengers Bangalore,-22.09,0,-22.09,-22.09,2014,2014,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2014
V Sehwag,Kings XI Punjab,37.97,0,37.97,37.97,2014,2014,V Sehwag|Kings XI Punjab,V Sehwag|Kings XI Punjab|2014
VR Aaron,Royal Challengers Bangalore,4.22,-67.04,-62.82,-62.83,2014,2014,VR Aaron|Royal Challengers Bangalore,VR Aaron|Royal Challengers Bangalore|2014
WP Saha,Kings XI Punjab,39.15,0,39.15,39.15,2014,2014,WP Saha|Kings XI Punjab,WP Saha|Kings XI Punjab|2014
YK Pathan,Kolkata Knight Riders,55.3,-1.9,53.4,53.39,2014,2014,YK Pathan|Kolkata Knight Riders,YK Pathan|Kolkata Knight Riders|2014
YS Chahal,Royal Challengers Bangalore,0.12,102.1,102.22,102.22,2014,2014,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2014
Yuvraj Singh,Royal Challengers Bangalore,-15.82,-18.14,-33.96,-33.96,2014,2014,Yuvraj Singh|Royal Challengers Bangalore,Yuvraj Singh|Royal Challengers Bangalore|2014
A Nehra,Chennai Super Kings,-4.25,-3.11,-7.36,-7.36,2015,2015,A Nehra|Chennai Super Kings,A Nehra|Chennai Super Kings|2015
AB de Villiers,Royal Challengers Bangalore,97.27,0,97.27,97.27,2015,2015,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2015
AD Russell,Kolkata Knight Riders,87.33,392.01,479.34,479.33,2015,2015,AD Russell|Kolkata Knight Riders,AD Russell|Kolkata Knight Riders|2015
AM Rahane,Rajasthan Royals,2.21,0,2.21,2.21,2015,2015,AM Rahane|Rajasthan Royals,AM Rahane|Rajasthan Royals|2015
AR Patel,Kings XI Punjab,235.67,-1334.74,-1099.07,-1099.07,2015,2015,AR Patel|Kings XI Punjab,AR Patel|Kings XI Punjab|2015
AT Rayudu,Mumbai Indians,30.05,0,30.05,30.05,2015,2015,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2015
Anureet Singh,Kings XI Punjab,14.8,-2560.8,-2546,-2546,2015,2015,Anureet Singh|Kings XI Punjab,Anureet Singh|Kings XI Punjab|2015
B Kumar,Sunrisers Hyderabad,5.58,496.88,502.46,502.46,2015,2015,B Kumar|Sunrisers Hyderabad,B Kumar|Sunrisers Hyderabad|2015
BB McCullum,Chennai Super Kings,473.13,0,473.13,473.13,2015,2015,BB McCullum|Chennai Super Kings,BB McCullum|Chennai Super Kings|2015
CH Gayle,Royal Challengers Bangalore,63.99,5.32,69.31,69.31,2015,2015,CH Gayle|Royal Challengers Bangalore,CH Gayle|Royal Challengers Bangalore|2015
CH Morris,Rajasthan Royals,22.34,449.7,472.04,472.04,2015,2015,CH Morris|Rajasthan Royals,CH Morris|Rajasthan Royals|2015
D Wiese,Royal Challengers Bangalore,-4.46,352.12,347.66,347.66,2015,2015,D Wiese|Royal Challengers Bangalore,D Wiese|Royal Challengers Bangalore|2015
DA Miller,Kings XI Punjab,251.86,0,251.86,251.86,2015,2015,DA Miller|Kings XI Punjab,DA Miller|Kings XI Punjab|2015
DA Warner,Sunrisers Hyderabad,94.14,0,94.14,94.14,2015,2015,DA Warner|Sunrisers Hyderabad,DA Warner|Sunrisers Hyderabad|2015
DJ Bravo,Chennai Super Kings,-10.94,-564.76,-575.7,-575.7,2015,2015,DJ Bravo|Chennai Super Kings,DJ Bravo|Chennai Super Kings|2015
DR Smith,Chennai Super Kings,640.2,6.26,646.46,646.46,2015,2015,DR Smith|Chennai Super Kings,DR Smith|Chennai Super Kings|2015
DS Kulkarni,Rajasthan Royals,-5,326.36,321.36,321.36,2015,2015,DS Kulkarni|Rajasthan Royals,DS Kulkarni|Rajasthan Royals|2015
F du Plessis,Chennai Super Kings,-7.51,0,-7.51,-7.51,2015,2015,F du Plessis|Chennai Super Kings,F du Plessis|Chennai Super Kings|2015
G Gambhir,Kolkata Knight Riders,-35.82,0,-35.82,-35.82,2015,2015,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2015
GJ Bailey,Kings XI Punjab,87.74,0,87.74,87.74,2015,2015,GJ Bailey|Kings XI Punjab,GJ Bailey|Kings XI Punjab|2015
HV Patel,Royal Challengers Bangalore,3.39,463.93,467.32,467.31,2015,2015,HV Patel|Royal Challengers Bangalore,HV Patel|Royal Challengers Bangalore|2015
Harbhajan Singh,Mumbai Indians,19.2,372.02,391.22,391.23,2015,2015,Harbhajan Singh|Mumbai Indians,Harbhajan Singh|Mumbai Indians|2015
IC Pandey,Chennai Super Kings,0,-526.74,-526.74,-526.74,2015,2015,IC Pandey|Chennai Super Kings,IC Pandey|Chennai Super Kings|2015
Imran Tahir,Delhi Daredevils,-1.72,286.2,284.48,284.48,2015,2015,Imran Tahir|Delhi Daredevils,Imran Tahir|Delhi Daredevils|2015
J Suchith,Mumbai Indians,11.2,339.16,350.36,350.36,2015,2015,J Suchith|Mumbai Indians,J Suchith|Mumbai Indians|2015
JP Duminy,Delhi Daredevils,-8.54,202.56,194.02,194.02,2015,2015,JP Duminy|Delhi Daredevils,JP Duminy|Delhi Daredevils|2015
KA Pollard,Mumbai Indians,49.85,45.39,95.24,95.24,2015,2015,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2015
KV Sharma,Sunrisers Hyderabad,-2.35,339.16,336.81,336.81,2015,2015,KV Sharma|Sunrisers Hyderabad,KV Sharma|Sunrisers Hyderabad|2015
LMP Simmons,Mumbai Indians,-38.99,0,-38.99,-38.99,2015,2015,LMP Simmons|Mumbai Indians,LMP Simmons|Mumbai Indians|2015
M Morkel,Kolkata Knight Riders,1.75,322.25,324,324,2015,2015,M Morkel|Kolkata Knight Riders,M Morkel|Kolkata Knight Riders|2015
M Vijay,Kings XI Punjab,199.34,18.52,217.86,217.86,2015,2015,M Vijay|Kings XI Punjab,M Vijay|Kings XI Punjab|2015
MA Agarwal,Delhi Daredevils,-24.75,0,-24.75,-24.75,2015,2015,MA Agarwal|Delhi Daredevils,MA Agarwal|Delhi Daredevils|2015
MA Starc,Royal Challengers Bangalore,-4.98,533.89,528.91,528.9,2015,2015,MA Starc|Royal Challengers Bangalore,MA Starc|Royal Challengers Bangalore|2015
MC Henriques,Sunrisers Hyderabad,7.6,361.71,369.31,369.31,2015,2015,MC Henriques|Sunrisers Hyderabad,MC Henriques|Sunrisers Hyderabad|2015
MG Johnson,Kings XI Punjab,22.17,-1719.45,-1697.28,-1697.29,2015,2015,MG Johnson|Kings XI Punjab,MG Johnson|Kings XI Punjab|2015
MJ McClenaghan,Mumbai Indians,6.15,407.5,413.65,413.65,2015,2015,MJ McClenaghan|Mumbai Indians,MJ McClenaghan|Mumbai Indians|2015
MK Pandey,Kolkata Knight Riders,-16.64,0,-16.64,-16.64,2015,2015,MK Pandey|Kolkata Knight Riders,MK Pandey|Kolkata Knight Riders|2015
MM Sharma,Chennai Super Kings,7.85,-165.74,-157.89,-157.89,2015,2015,MM Sharma|Chennai Super Kings,MM Sharma|Chennai Super Kings|2015
MS Dhoni,Chennai Super Kings,471.88,0,471.88,471.88,2015,2015,MS Dhoni|Chennai Super Kings,MS Dhoni|Chennai Super Kings|2015
NM Coulter-Nile,Delhi Daredevils,-2.3,447.27,444.97,444.97,2015,2015,NM Coulter-Nile|Delhi Daredevils,NM Coulter-Nile|Delhi Daredevils|2015
PA Patel,Mumbai Indians,24.65,0,24.65,24.65,2015,2015,PA Patel|Mumbai Indians,PA Patel|Mumbai Indians|2015
PP Chawla,Kolkata Knight Riders,-1.94,377.16,375.22,375.22,2015,2015,PP Chawla|Kolkata Knight Riders,PP Chawla|Kolkata Knight Riders|2015
R Ashwin,Chennai Super Kings,13.18,302.4,315.58,315.58,2015,2015,R Ashwin|Chennai Super Kings,R Ashwin|Chennai Super Kings|2015
RA Jadeja,Chennai Super Kings,238.17,-424.94,-186.77,-186.77,2015,2015,RA Jadeja|Chennai Super Kings,RA Jadeja|Chennai Super Kings|2015
RG Sharma,Mumbai Indians,21.34,0,21.34,21.34,2015,2015,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2015
RV Uthappa,Kolkata Knight Riders,-0.88,0,-0.88,-0.88,2015,2015,RV Uthappa|Kolkata Knight Riders,RV Uthappa|Kolkata Knight Riders|2015
S Dhawan,Sunrisers Hyderabad,-16.12,0,-16.12,-16.12,2015,2015,S Dhawan|Sunrisers Hyderabad,S Dhawan|Sunrisers Hyderabad|2015
SK Raina,Chennai Super Kings,299.31,43.63,342.94,342.95,2015,2015,SK Raina|Chennai Super Kings,SK Raina|Chennai Super Kings|2015
SL Malinga,Mumbai Indians,-6.56,645.07,638.51,638.51,2015,2015,SL Malinga|Mumbai Indians,SL Malinga|Mumbai Indians|2015
SPD Smith,Rajasthan Royals,3.07,0,3.07,3.07,2015,2015,SPD Smith|Rajasthan Royals,SPD Smith|Rajasthan Royals|2015
SR Watson,Rajasthan Royals,6.86,168.28,175.14,175.14,2015,2015,SR Watson|Rajasthan Royals,SR Watson|Rajasthan Royals|2015
SS Iyer,Delhi Daredevils,-14.52,0,-14.52,-14.52,2015,2015,SS Iyer|Delhi Daredevils,SS Iyer|Delhi Daredevils|2015
SV Samson,Rajasthan Royals,-10.5,0,-10.5,-10.5,2015,2015,SV Samson|Rajasthan Royals,SV Samson|Rajasthan Royals|2015
Sandeep Sharma,Kings XI Punjab,4.2,-1073.56,-1069.36,-1069.36,2015,2015,Sandeep Sharma|Kings XI Punjab,Sandeep Sharma|Kings XI Punjab|2015
UT Yadav,Kolkata Knight Riders,11.09,273.47,284.56,284.55,2015,2015,UT Yadav|Kolkata Knight Riders,UT Yadav|Kolkata Knight Riders|2015
V Kohli,Royal Challengers Bangalore,13.32,11.32,24.64,24.64,2015,2015,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2015
WP Saha,Kings XI Punjab,146.67,0,146.67,146.67,2015,2015,WP Saha|Kings XI Punjab,WP Saha|Kings XI Punjab|2015
YK Pathan,Kolkata Knight Riders,-2.33,12.43,10.1,10.1,2015,2015,YK Pathan|Kolkata Knight Riders,YK Pathan|Kolkata Knight Riders|2015
YS Chahal,Royal Challengers Bangalore,0.25,322.73,322.98,322.98,2015,2015,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2015
Yuvraj Singh,Delhi Daredevils,-30.11,49.11,19,19,2015,2015,Yuvraj Singh|Delhi Daredevils,Yuvraj Singh|Delhi Daredevils|2015
A Mishra,Delhi Daredevils,-13.46,271.37,257.91,257.91,2016,2016,A Mishra|Delhi Daredevils,A Mishra|Delhi Daredevils|2016
A Zampa,Rising Pune Supergiants,-1.25,188.87,187.62,187.62,2016,2016,A Zampa|Rising Pune Supergiants,A Zampa|Rising Pune Supergiants|2016
AB Dinda,Rising Pune Supergiants,0,185.44,185.44,185.44,2016,2016,AB Dinda|Rising Pune Supergiants,AB Dinda|Rising Pune Supergiants|2016
AB de Villiers,Royal Challengers Bangalore,150.35,0,150.35,150.35,2016,2016,AB de Villiers|Royal Challengers Bangalore,AB de Villiers|Royal Challengers Bangalore|2016
AD Russell,Kolkata Knight Riders,226.33,-829.77,-603.44,-603.45,2016,2016,AD Russell|Kolkata Knight Riders,AD Russell|Kolkata Knight Riders|2016
AJ Finch,Gujarat Lions,-10.88,0,-10.88,-10.88,2016,2016,AJ Finch|Gujarat Lions,AJ Finch|Gujarat Lions|2016
AM Rahane,Rising Pune Supergiants,-37.95,0,-37.95,-37.95,2016,2016,AM Rahane|Rising Pune Supergiants,AM Rahane|Rising Pune Supergiants|2016
AR Patel,Kings XI Punjab,289.76,-1135.28,-845.52,-845.51,2016,2016,AR Patel|Kings XI Punjab,AR Patel|Kings XI Punjab|2016
AT Rayudu,Mumbai Indians,-16.32,0,-16.32,-16.32,2016,2016,AT Rayudu|Mumbai Indians,AT Rayudu|Mumbai Indians|2016
B Kumar,Sunrisers Hyderabad,10.29,558.7,568.99,568.99,2016,2016,B Kumar|Sunrisers Hyderabad,B Kumar|Sunrisers Hyderabad|2016
BB McCullum,Gujarat Lions,12.61,0,12.61,12.61,2016,2016,BB McCullum|Gujarat Lions,BB McCullum|Gujarat Lions|2016
BB Sran,Sunrisers Hyderabad,0.18,321.82,322,321.99,2016,2016,BB Sran|Sunrisers Hyderabad,BB Sran|Sunrisers Hyderabad|2016
CH Gayle,Royal Challengers Bangalore,14.2,118.12,132.32,132.32,2016,2016,CH Gayle|Royal Challengers Bangalore,CH Gayle|Royal Challengers Bangalore|2016
CH Morris,Delhi Daredevils,52.82,416.67,469.49,469.49,2016,2016,CH Morris|Delhi Daredevils,CH Morris|Delhi Daredevils|2016
CJ Jordan,Royal Challengers Bangalore,-1.99,81.99,80,80,2016,2016,CJ Jordan|Royal Challengers Bangalore,CJ Jordan|Royal Challengers Bangalore|2016
DA Warner,Sunrisers Hyderabad,73.09,0,73.09,73.09,2016,2016,DA Warner|Sunrisers Hyderabad,DA Warner|Sunrisers Hyderabad|2016
DJ Bravo,Gujarat Lions,-10.75,280.97,270.22,270.22,2016,2016,DJ Bravo|Gujarat Lions,DJ Bravo|Gujarat Lions|2016
DR Smith,Gujarat Lions,45.22,115.66,160.88,160.88,2016,2016,DR Smith|Gujarat Lions,DR Smith|Gujarat Lions|2016
DS Kulkarni,Gujarat Lions,8.31,486.82,495.13,495.13,2016,2016,DS Kulkarni|Gujarat Lions,DS Kulkarni|Gujarat Lions|2016
F du Plessis,Rising Pune Supergiants,-12.54,0,-12.54,-12.54,2016,2016,F du Plessis|Rising Pune Supergiants,F du Plessis|Rising Pune Supergiants|2016
G Gambhir,Kolkata Knight Riders,458.53,0,458.53,458.53,2016,2016,G Gambhir|Kolkata Knight Riders,G Gambhir|Kolkata Knight Riders|2016
JC Buttler,Mumbai Indians,9.56,0,9.56,9.56,2016,2016,JC Buttler|Mumbai Indians,JC Buttler|Mumbai Indians|2016
JJ Bumrah,Mumbai Indians,0.97,407.6,408.57,408.57,2016,2016,JJ Bumrah|Mumbai Indians,JJ Bumrah|Mumbai Indians|2016
KA Pollard,Mumbai Indians,14.57,-39.47,-24.9,-24.9,2016,2016,KA Pollard|Mumbai Indians,KA Pollard|Mumbai Indians|2016
KD Karthik,Gujarat Lions,-19.35,0,-19.35,-19.35,2016,2016,KD Karthik|Gujarat Lions,KD Karthik|Gujarat Lions|2016
KH Pandya,Mumbai Indians,72.16,284.76,356.92,356.92,2016,2016,KH Pandya|Mumbai Indians,KH Pandya|Mumbai Indians|2016
KK Nair,Delhi Daredevils,-36.11,0,-36.11,-36.11,2016,2016,KK Nair|Delhi Daredevils,KK Nair|Delhi Daredevils|2016
KL Rahul,Royal Challengers Bangalore,37.46,0,37.46,37.46,2016,2016,KL Rahul|Royal Challengers Bangalore,KL Rahul|Royal Challengers Bangalore|2016
M Morkel,Kolkata Knight Riders,0.04,-899.59,-899.55,-899.54,2016,2016,M Morkel|Kolkata Knight Riders,M Morkel|Kolkata Knight Riders|2016
M Vijay,Kings XI Punjab,166.02,3.04,169.06,169.07,2016,2016,M Vijay|Kings XI Punjab,M Vijay|Kings XI Punjab|2016
MC Henriques,Sunrisers Hyderabad,-27.49,282.17,254.68,254.68,2016,2016,MC Henriques|Sunrisers Hyderabad,MC Henriques|Sunrisers Hyderabad|2016
MJ McClenaghan,Mumbai Indians,12.01,326.6,338.61,338.61,2016,2016,MJ McClenaghan|Mumbai Indians,MJ McClenaghan|Mumbai Indians|2016
MK Pandey,Kolkata Knight Riders,1.38,0,1.38,1.38,2016,2016,MK Pandey|Kolkata Knight Riders,MK Pandey|Kolkata Knight Riders|2016
MM Sharma,Kings XI Punjab,41.94,-1762.72,-1720.78,-1720.78,2016,2016,MM Sharma|Kings XI Punjab,MM Sharma|Kings XI Punjab|2016
MS Dhoni,Rising Pune Supergiants,-1.7,0,-1.7,-1.7,2016,2016,MS Dhoni|Rising Pune Supergiants,MS Dhoni|Rising Pune Supergiants|2016
Mustafizur Rahman,Sunrisers Hyderabad,0,662.53,662.53,662.53,2016,2016,Mustafizur Rahman|Sunrisers Hyderabad,Mustafizur Rahman|Sunrisers Hyderabad|2016
PP Chawla,Kolkata Knight Riders,-6.75,-544.61,-551.36,-551.36,2016,2016,PP Chawla|Kolkata Knight Riders,PP Chawla|Kolkata Knight Riders|2016
Q de Kock,Delhi Daredevils,-10.04,0,-10.04,-10.04,2016,2016,Q de Kock|Delhi Daredevils,Q de Kock|Delhi Daredevils|2016
R Ashwin,Rising Pune Supergiants,-6.39,451.46,445.07,445.07,2016,2016,R Ashwin|Rising Pune Supergiants,R Ashwin|Rising Pune Supergiants|2016
RG Sharma,Mumbai Indians,-8.87,0,-8.87,-8.87,2016,2016,RG Sharma|Mumbai Indians,RG Sharma|Mumbai Indians|2016
RV Uthappa,Kolkata Knight Riders,440.66,0,440.66,440.66,2016,2016,RV Uthappa|Kolkata Knight Riders,RV Uthappa|Kolkata Knight Riders|2016
S Aravind,Royal Challengers Bangalore,0,262.58,262.58,262.58,2016,2016,S Aravind|Royal Challengers Bangalore,S Aravind|Royal Challengers Bangalore|2016
S Dhawan,Sunrisers Hyderabad,-46.73,0,-46.73,-46.73,2016,2016,S Dhawan|Sunrisers Hyderabad,S Dhawan|Sunrisers Hyderabad|2016
SK Raina,Gujarat Lions,-16.09,41.21,25.12,25.11,2016,2016,SK Raina|Gujarat Lions,SK Raina|Gujarat Lions|2016
SP Narine,Kolkata Knight Riders,-9.36,430.47,421.11,421.12,2016,2016,SP Narine|Kolkata Knight Riders,SP Narine|Kolkata Knight Riders|2016
SPD Smith,Rising Pune Supergiants,32.06,0,32.06,32.06,2016,2016,SPD Smith|Rising Pune Supergiants,SPD Smith|Rising Pune Supergiants|2016
SR Watson,Royal Challengers Bangalore,3.68,338.56,342.24,342.25,2016,2016,SR Watson|Royal Challengers Bangalore,SR Watson|Royal Challengers Bangalore|2016
SV Samson,Delhi Daredevils,-52.96,0,-52.96,-52.96,2016,2016,SV Samson|Delhi Daredevils,SV Samson|Delhi Daredevils|2016
Sandeep Sharma,Kings XI Punjab,11.13,-937.97,-926.84,-926.84,2016,2016,Sandeep Sharma|Kings XI Punjab,Sandeep Sharma|Kings XI Punjab|2016
UT Yadav,Kolkata Knight Riders,1.99,-1181.79,-1179.8,-1179.8,2016,2016,UT Yadav|Kolkata Knight Riders,UT Yadav|Kolkata Knight Riders|2016
V Kohli,Royal Challengers Bangalore,153.9,-2.4,151.5,151.5,2016,2016,V Kohli|Royal Challengers Bangalore,V Kohli|Royal Challengers Bangalore|2016
WP Saha,Kings XI Punjab,261.26,0,261.26,261.26,2016,2016,WP Saha|Kings XI Punjab,WP Saha|Kings XI Punjab|2016
YK Pathan,Kolkata Knight Riders,349.52,63.85,413.37,413.37,2016,2016,YK Pathan|Kolkata Knight Riders,YK Pathan|Kolkata Knight Riders|2016
YS Chahal,Royal Challengers Bangalore,0,338.62,338.62,338.62,2016,2016,YS Chahal|Royal Challengers Bangalore,YS Chahal|Royal Challengers Bangalore|2016
Yuvraj Singh,Sunrisers Hyderabad,-1.53,27.65,26.12,26.12,2016,2016,Yuvraj Singh|Sunrisers Hyderabad,Yuvraj Singh|Sunrisers Hyderabad|2016
